1,Summer,Barcelona,1992,1992 Summer
2,Summer,London,2012,2012 Summer
3,Summer,Antwerpen,1920,1920 Summer
4,Summer,Paris,1900,1900 Summer
5,Winter,Calgary,1988,1988 Winter
6,Winter,Albertville,1992,1992 Winter
7,Winter,Lillehammer,1994,1994 Winter
8,Summer,Los Angeles,1932,1932 Summer
9,Winter,Salt Lake City,2002,2002 Winter
10,Summer,Helsinki,1952,1952 Summer
11,Winter,Lake Placid,1980,1980 Winter
12,Summer,Sydney,2000,2000 Summer
13,Summer,Atlanta,1996,1996 Summer
14,Summer,Stockholm,1912,1912 Summer
15,Summer,Paris,1924,1924 Summer
16,Winter,Sochi,2014,2014 Winter
17,Summer,London,1948,1948 Summer
18,Winter,Nagano,1998,1998 Winter
19,Winter,Torino,2006,2006 Winter
20,Summer,Beijing,2008,2008 Summer
21,Summer,Rio de Janeiro,2016,2016 Summer
22,Summer,Athina,2004,2004 Summer
23,Winter,Squaw Valley,1960,1960 Winter
24,Winter,Innsbruck,1964,1964 Winter
25,Winter,Sarajevo,1984,1984 Winter
26,Summer,Los Angeles,1984,1984 Summer
27,Summer,Mexico City,1968,1968 Summer
28,Summer,Munich,1972,1972 Summer
29,Summer,Seoul,1988,1988 Summer
30,Summer,Berlin,1936,1936 Summer
31,Winter,Oslo,1952,1952 Winter
32,Winter,Cortina d'Ampezzo,1956,1956 Winter
33,Summer,Melbourne,1956,1956 Summer
34,Summer,Roma,1960,1960 Summer
35,Summer,Amsterdam,1928,1928 Summer
36,Summer,Montreal,1976,1976 Summer
37,Summer,Moskva,1980,1980 Summer
38,Summer,Tokyo,1964,1964 Summer
39,Winter,Vancouver,2010,2010 Winter
40,Winter,Grenoble,1968,1968 Winter
41,Summer,Athina,1906,1906 Summer
42,Winter,Sapporo,1972,1972 Winter
43,Winter,Innsbruck,1976,1976 Winter
44,Winter,Chamonix,1924,1924 Winter
45,Summer,St. Louis,1904,1904 Summer
46,Winter,Sankt Moritz,1928,1928 Winter
47,Summer,London,1908,1908 Summer
48,Winter,Sankt Moritz,1948,1948 Winter
49,Winter,Lake Placid,1932,1932 Winter
50,Winter,Garmisch-Partenkirchen,1936,1936 Winter
51,Summer,Athina,1896,1896 Summer
